Date,Open,High,Low,Close,Volume
2024-06-27,182.77071833286294,184.62642010992184,182.61195409916436,183.99131774902344,18848900
2024-06-28,182.90965002904287,183.71344974735644,180.56770738280355,180.75624084472656,29156600
2024-07-01,181.6295157623823,182.4730179096056,179.91275737108273,181.58982849121094,16006100
2024-07-02,180.65700787416756,184.1500780686585,180.17075176456586,183.82260131835938,17372500
2024-07-03,183.43558380831382,184.6660859724945,182.59208172180752,184.39816284179688,10242100
2024-07-05,184.43786493247498,189.39960668236182,184.3783264542018,189.1416015625,20967500
2024-07-08,188.4469257746695,188.71486404073931,186.34315233953677,187.58358764648438,21035900
2024-07-09,188.85380640623399,189.89577517091524,187.27597621110633,187.5339813232422,15121400
2024-07-10,187.7026819141074,190.28279364749721,187.5836049591009,189.71714782714844,15952500
2024-07-11,188.39735066829172,189.39961710579536,183.66384453862594,184.1501007080078,25625800
2024-07-12,183.66383343758727,185.67829936578423,183.07835154835516,183.65391540527344,22898400
2024-07-15,183.50505596969933,186.79965977611926,183.50505596969933,185.1027374267578,16474000
2024-07-16,185.9263913901426,187.2362833659617,181.96691593885006,182.51271057128906,18290700
2024-07-17,181.569963789314,182.14552760174087,178.52344733868037,179.6348876953125,20734100
2024-07-18,180.53794629801195,181.10359218286982,175.1197322388206,176.3303985595703,25315700
2024-07-19,177.51126425121495,178.91046381081307,175.77465477022162,176.30059814453125,18881900
2024-07-22,179.20819962101348,181.30205541728276,178.8509535799711,180.27993774414062,24100300
2024-07-23,180.65700705961783,182.20506795075516,180.15089974687697,180.39898681640625,36352700
2024-07-24,172.2716763828317,174.84185492699467,170.5052975643539,171.30909729003906,49585200
2024-07-25,171.19994131459546,172.09304877138803,165.9107228003057,166.00003051757812,44852000
2024-07-26,165.87099888612107,166.80380863547714,162.8046465209646,165.72215270996094,41336900
2024-07-29,167.5381777702437,169.12592608314606,166.70460877031735,168.23281860351562,20293800
2024-07-30,168.9373636975669,169.9197787286118,167.1511339019872,168.98696899414062,18959700
2024-07-31,171.91443658888358,172.91670298864665,168.7091404604878,170.22743225097656,25729100
2024-08-01,168.94730744825696,172.718234225876,167.58779504728142,169.45339965820312,24531400
2024-08-02,165.16644779514462,167.22060083165107,163.40998712477472,165.384765625,29130100
2024-08-05,154.3101724717456,163.17183620146415,153.7445266292353,158.03147888183594,53630700
2024-08-06,158.11084703677423,159.34136430659962,155.21319199044268,157.07879638671875,49004600
2024-08-07,160.0161531809976,161.73291139086032,157.25742629410797,157.7238311767578,25138600
2024-08-08,159.28183313078614,162.43750885518617,158.98414073021175,160.7902069091797,25578800
2024-08-09,158.78564981676743,162.53672526881738,157.84292193770273,162.4176483154297,28602300
2024-08-12,163.09245277727376,163.638232240746,160.60164879815585,161.04820251464844,15895300
2024-08-13,162.1596237343071,163.46951549041373,161.72298810159427,162.9038848876953,18551700
2024-08-14,161.15734902797854,161.9710818575429,156.5032484754406,159.14288330078125,40591100
2024-08-15,159.27189898700752,160.40317542086007,158.38870962322818,160.06578063964844,31524300
2024-08-16,160.23448454041534,163.79701137732062,159.8970897454957,161.7130889892578,24208600
2024-08-19,164.01535061555833,165.41456556424006,163.00315095672093,165.39471435546875,22416200
2024-08-20,165.62293103111787,167.34962258490438,165.54355648931903,165.90078735351562,18341500
2024-08-21,163.88630724691845,165.57331138365288,163.40998432722168,164.58096313476562,22902000
2024-08-22,165.9801781592332,166.3076549289941,162.06040523845343,162.54666137695312,22493300
2024-08-23,163.45964509800748,164.90846541930796,162.57645554427228,164.35275268554688,13955700
2024-08-26,165.1069286953162,166.26797448558267,163.20162161831215,164.88861083984375,14190400
2024-08-27,164.5710342489987,165.16644927065664,163.20160392643822,163.41990661621094,11821900
2024-08-28,163.77715768210635,164.33288545251102,160.2940205808296,161.6039276123047,16407400
2024-08-29,163.05275436266322,164.70005625165825,159.02382249929119,160.5421142578125,19699800
2024-08-30,161.37570354226852,162.40775443186422,160.4528267322231,162.12989807128906,22123800
2024-09-03,160.48258445374879,160.61159459119546,155.28267338679814,156.15594482421875,38945300
2024-09-04,155.46131426900152,157.78340604462628,154.76667337142607,155.25291442871094,19353800
2024-09-05,155.10407049895832,158.22996215508203,154.78651171708566,156.03688049316406,18688700
2024-09-06,156.09640040925774,156.62234382988387,149.39804896411633,149.7652130126953,37912100
