Date,Open,High,Low,Close,Volume
2024-06-27,532.7577451835803,534.3110010096894,532.0153114364416,533.734619140625,35041500
2024-06-28,534.5064116818106,537.5543137581463,530.3938098387125,531.6343994140625,76144500
2024-07-01,533.0117876323043,533.2560061424955,529.9737236752046,532.728515625,40297800
2024-07-02,531.126400132376,536.3135986328125,531.0775683576217,536.3135986328125,40434800
2024-07-03,536.0010100914286,539.068408833479,535.9619565950238,538.7069702148438,32789900
2024-07-05,539.0097918869257,542.2139076372644,538.3747999305978,541.8134155273438,41488400
2024-07-08,542.5948722312855,543.3861377502993,541.3737797869028,542.4385986328125,36110500
2024-07-09,543.3959524424528,544.2946598471173,542.6730752067231,542.9661254882812,27289700
2024-07-10,544.1872136667199,548.6808102777995,543.894163387503,548.3389282226562,38701200
2024-07-11,548.4562180647349,549.3256503566656,542.9759684638211,543.6109008789062,53054200
2024-07-12,544.7343860301963,550.6346849623752,544.2655054755963,547.039794921875,53084400
2024-07-15,549.0325043663784,551.7775178290722,546.6879829958002,548.5440673828125,40584300
2024-07-16,549.8530882979716,552.090108393895,549.1008762046278,551.7970581054688,36475300
2024-07-17,545.8772743812609,547.5477506768178,543.7379175635831,544.060302734375,57119000
2024-07-18,545.593898977862,546.580551242634,537.7007404833427,539.879150390625,56270400
2024-07-19,539.644738170822,541.2663824595259,535.2390267295067,536.2940673828125,65509100
2024-07-22,540.211436930268,542.4289604616175,538.277245078338,541.8233032226562,43346700
2024-07-23,541.7157629327536,543.8648979607326,540.4849516029554,540.973388671875,34439600
2024-07-24,536.1670544374522,536.4698829953903,527.7952370228695,528.7135009765625,74515300
2024-07-25,528.8307523766035,534.7994982405838,525.0209792890996,525.958740234375,61158300
2024-07-26,529.7392825093052,534.5357078065754,528.9675138593225,531.8493041992188,53763800
2024-07-29,533.3926747810592,534.3988238349518,530.1689434005636,532.1618041992188,39515800
2024-07-30,533.6272524601584,534.6822931769603,526.0662565076813,529.4657592773438,46853600
2024-07-31,536.2843251839307,540.6998152024645,534.9167372159726,538.072021484375,65663400
2024-08-01,539.7912440920945,542.0380422456446,526.955106117804,530.4523315429688,76428700
2024-08-02,523.3603616135271,524.571676102486,516.3756871144337,520.5762939453125,82789100
2024-08-05,499.8078827767836,511.47176200774925,498.4695402072865,505.4151306152344,146267400
2024-08-06,507.2124748611044,517.4989864003181,505.8937188490462,510.07476806640625,84826300
2024-08-07,516.248598311969,519.2965001883216,506.06958745039486,506.66546630859375,70698300
2024-08-08,511.79405372836936,519.0033889369354,509.77197692780607,518.3782348632812,63276600
2024-08-09,517.5576710131196,522.1489912653111,516.3365783728381,520.6641235351562,45619600
2024-08-12,521.8559471668351,523.3407552909962,518.6713279832952,520.9376831054688,42542100
2024-08-13,524.1222955084382,529.7393216479126,523.878076980635,529.5048217773438,52333100
2024-08-14,530.2960824274743,532.3573320967027,527.6292352085552,531.17529296875,42446900
2024-08-15,536.7922766972661,540.5629961238054,536.1866195717042,540.2797241210938,60846800
2024-08-16,538.6679083622046,542.1846909540823,538.5116347380534,541.4910888671875,44430700
2024-08-19,541.901367537868,546.6685180664062,541.0514918139045,546.6685180664062,39121800
2024-08-20,546.2190851764095,547.8700045132335,544.4411674580102,545.7794799804688,33732300
2024-08-21,546.8247712917706,549.1106230342316,541.9012882335657,547.6550903320312,41514600
2024-08-22,549.5502804647684,550.1559376249218,542.1455582382872,543.3568725585938,56121500
2024-08-23,546.5903394303513,550.0680084955276,544.4020915801096,549.1301879882812,50639400
2024-08-26,550.1559102385648,550.8690092024209,546.1214157161334,547.8211669921875,35788600
2024-08-27,546.5512887213379,549.0618623501647,545.4083627021253,548.5734252929688,32693900
2024-08-28,548.2315922971716,548.6614193309421,542.2042355425785,545.3888549804688,41066000
2024-08-29,547.3521942445709,550.6442544077365,544.2945742697917,545.4375,38715200
2024-08-30,547.8016709409602,551.1523417216108,544.2556134288437,550.6443481445312,62700100
2024-09-03,547.5086736550506,547.8408371292351,536.8021702028251,539.312744140625,60600100
2024-09-04,537.4761456891545,541.6083040829072,536.7532683896355,538.2088012695312,47224900
2024-09-05,538.1501466111926,540.9928237930679,534.4477558926965,536.8997192382812,44264300
2024-09-06,537.2221175565589,538.8437022454943,526.9649400293706,527.8636474609375,68493800
2024-09-09,532.0544335310877,535.043665505135,530.1299607989381,533.773681640625,40445800
