Date,Open,High,Low,Close,Volume
2024-05-30,417.7349716036768,417.7349716036768,407.8306281783295,408.2539978027344,28394500
2024-05-31,410.3017776619535,410.3017776619535,398.2511723788605,408.70684814453125,47995300
2024-06-03,409.1006748520027,409.9867435149057,402.5929630717942,407.12176513671875,17484700
2024-06-04,406.04863004617806,409.99659455099004,403.341179685009,409.63232421875,14348900
2024-06-05,411.3453811328119,417.5183569725432,409.8587351784671,417.449462890625,16988000
2024-06-06,417.449510532203,418.7293842506858,414.0725584079514,417.95159912109375,14861300
2024-06-07,419.60557647742206,419.6843254469309,416.45507688003147,417.29193115234375,13621700
2024-06-10,418.12879037210877,421.45646767892094,417.33132559781046,421.2497253417969,13982900
2024-06-11,418.8967715885156,426.1231998343133,418.67031944713443,425.9853515625,14551100
2024-06-12,428.5844790234761,436.53944727057524,426.54650007534946,434.23565673828125,22366200
2024-06-13,434.02890334988575,436.5296113185569,432.57179200487434,434.7475891113281,15960600
2024-06-14,431.49865916361745,436.2834778568933,429.96279885352675,435.7222900390625,13582000
2024-06-17,435.7419888452348,443.96279884211964,433.90092737019853,441.43255615234375,20790000
2024-06-18,442.75181252074634,443.1751821409538,438.00641324566425,439.4339599609375,17112500
2024-06-20,439.3945864733692,439.62103860195157,434.442414629224,438.80389404296875,19877400
2024-06-21,440.45791031268766,443.6083802322018,439.60137620942794,442.8207702636719,34187100
2024-06-24,442.8404263927747,445.74479433203504,439.5028940256874,440.743408203125,15913700
2024-06-25,441.31445050765626,444.43541589296024,439.8376592622319,443.9726867675781,16413400
2024-06-26,442.05276943847076,446.5816011478092,441.25530470792563,445.16387939453125,16507000
2024-06-27,445.1836151073107,449.11190006347704,444.7799552473841,445.84326171875,14806300
2024-06-28,446.05981801420484,448.33407381119525,439.5028621939787,440.0345153808594,28362300
2024-07-01,441.71806471797646,450.2932899171113,438.7644825324962,449.6632080078125,17662800
2024-07-02,446.18782328625804,452.4789376582484,446.09918938158694,452.1737365722656,13979800
2024-07-03,451.10061852531385,453.88681788882053,450.7954174304016,453.64068603515625,9932800
2024-07-05,452.4986778129107,461.1034687451422,451.8685958254326,460.32568359375,16000300
2024-07-08,459.33123257528905,460.46346308739743,457.2735739768986,459.0260314941406,12962300
2024-07-09,459.77431483044427,460.09919566591896,450.9135678636905,452.42974853515625,17207200
2024-07-10,454.0837473649462,459.24266153927346,451.76024698147666,459.0359191894531,18196100
2024-07-11,455.8165594696292,457.5886969775325,444.56338714463874,447.6646728515625,23111200
