Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI,MACD,BB_Mid,BB_Upper,BB_Lower,Daily_Return
2018-03-14,435.0221862792969,435.8154745893041,431.1724324184181,433.0389797449048,3680392,436.23021545410154,441.7912451171875,51.85856294871901,-2.570259301921851,436.23021545410154,445.06301392697566,427.3974169812274,0.002284578846692753
2018-03-15,438.8253173828125,440.38853948145044,435.18552706620113,435.18552706620113,5870924,436.20279998779296,441.9139709472656,56.79469750002737,-2.077890874672562,436.20279998779296,444.99784105042596,427.40775892515995,0.008742384235717715
2018-03-16,432.3390197753906,438.89526149181626,430.83412740234826,438.6386169334778,7896336,435.8656539916992,441.82367614746096,43.23260415147225,-2.1858779174519327,435.8656539916992,444.71279510892015,427.0185128744783,-0.01478104692342419
2018-03-19,430.9974670410156,433.9722770043519,430.04086718042873,432.3390480048731,7838740,435.4999282836914,441.7984777832031,31.968599707153615,-2.352591312486254,435.4999282836914,444.52423668120883,426.475619886174,-0.0031030110006540212
2018-03-20,429.18927001953125,433.0156981285685,428.1976666503641,430.4958475861829,3657372,435.0484588623047,441.7032849121094,32.19433309643665,-2.600640699910855,435.0484588623047,444.3976788805441,425.6992388440653,-0.004195377374021314
2018-03-21,433.71563720703125,434.7188893718679,430.075875378634,431.17246061214826,5921140,434.99829559326173,441.68135314941406,42.897283498367045,-2.4042667326519904,434.99829559326173,444.36570915715066,425.6308820293728,0.010546319546371752
2018-03-22,435.780517578125,438.6386684764422,432.82903360728517,433.7156550743672,6673224,435.11903686523436,441.71471801757815,48.136700551552586,-2.0582936320325302,435.11903686523436,444.4600610766752,425.77801265379355,0.004760908286338905
2018-03-23,429.6676025390625,432.3624135449806,428.66432181261297,430.8575209365624,7190152,434.9831314086914,441.6113586425781,42.86078787898715,-2.2514156944122306,434.9831314086914,444.5675227436288,425.398740073754,-0.014027508785925957
2018-03-26,441.77679443359375,443.30504162749594,427.7893651705336,429.2826089017404,10501768,435.13362274169924,441.7478515625,60.39191044679842,-1.4110895728449577,435.13362274169924,445.05670729848526,425.2105381849132,0.02818269709648491
2018-03-27,441.5784912109375,443.0717349819039,437.7054106508961,441.8584904387002,6136836,434.9125549316406,441.8414129638672,63.999128419032694,-0.7524526740186843,434.9125549316406,443.9761339306711,425.84897593261013,-0.0004488765031456232
2018-03-28,440.0618591308594,443.2349838951618,437.7170261366285,439.32690042352505,8837508,434.7206497192383,441.93847290039065,58.28965243768421,-0.34883654971355327,434.7206497192383,443.12128222947956,426.320017208997,-0.003434569641105223
2018-04-02,450.5845031738281,451.64611333459544,441.0884552545797,441.0884552545797,4596368,435.2689468383789,442.09456237792966,66.43424985906412,0.8107754548046842,435.2689468383789,446.0964964485372,424.4413972282206,0.023911738371853897
2018-04-03,447.0148010253906,449.30130462885853,445.8715349830294,448.89299736239053,4079884,435.7536682128906,442.1680578613281,60.012404162500985,1.425301207702205,435.7536682128906,447.7705671738864,423.7367692518948,-0.007922381092321684
2018-04-04,439.39691162109375,449.12627827962143,438.2769718198413,446.3264572577427,3714108,435.90882415771483,442.1342266845703,54.281445713197705,1.2828296233594756,435.90882415771483,448.0347238745947,423.78292444083496,-0.017041693892064558
2018-04-05,445.38153076171875,446.571448989107,441.01845928629234,443.6083164933311,4858892,436.63969268798826,442.01570068359376,57.65517944360328,1.6339929616780182,436.63969268798826,449.21376028158716,424.06562509438936,0.013620075567999823
2018-04-06,448.7646789550781,449.4762830857494,444.65828023760565,446.15149542122913,3720008,437.69895935058594,441.88130859375,57.3907017210244,2.1603806984442713,437.69895935058594,450.6237912034761,424.77412749769576,0.007596067550383889
2018-04-09,452.4161071777344,453.1043851447475,447.13143911097467,447.69140903191504,4003536,438.7045608520508,441.7679162597656,65.58599272969869,2.8394550433198447,438.7045608520508,452.92654954352633,424.4825721605753,0.008136621249155374
2018-04-10,448.169677734375,453.33768639180846,446.45479305750155,453.33768639180846,6067236,439.51884002685546,441.6258245849609,62.755617173937786,3.0003883773752023,439.51884002685546,453.95977039776756,425.07790965594336,-0.009386114632057407
2018-04-11,447.70306396484375,447.97138585574766,444.56494247205364,447.0147859884523,2870812,440.1208023071289,441.44476928710935,64.03181710944475,3.0550605363747536,440.1208023071289,454.88520038291443,425.35640423134333,-0.0010411542607927649
2018-04-12,450.0246276855469,450.98122761289676,444.6816296038174,447.03814019985157,4712516,440.9205032348633,441.2294177246094,62.7881633877854,3.248275310617089,440.9205032348633,456.0246697063462,425.81633676338043,0.005185498844129999
2018-04-13,449.137939453125,452.6377156047078,447.7613551372522,449.83789468344156,3297172,441.6262908935547,440.8810723876953,60.670952315010766,3.2919040603788403,441.6262908935547,456.8883432733104,426.364238513799,-0.001970310462745317
2018-04-16,453.1277160644531,454.97093735305725,447.93638101004007,447.97138447070256,2847744,442.3414108276367,440.6318878173828,69.39986524033402,3.606844331205423,442.3414108276367,458.37182961884935,426.31099203642407,0.008883187682132032
2018-04-17,454.6209716796875,455.20426776857596,451.2611805114389,453.4543795019105,2667832,443.45550842285155,440.3649725341797,62.88316328342237,3.9316088735959056,443.45550842285155,459.655206733082,427.2558101126211,0.003295440914989234
2018-04-18,450.9111633300781,455.78752390196246,450.31621846031885,455.2042278642072,2712720,444.45119323730466,440.0917559814453,58.7449749986703,3.845310240758124,444.45119323730466,459.85522415478147,429.04716231982786,-0.008160222648556537
2018-04-19,452.4044494628906,453.75770779035105,451.0045388405197,452.63776789995245,3169032,445.61195220947263,440.0497589111328,61.57041485528185,3.8529986929670486,445.61195220947263,459.6080460770412,431.6158583419041,0.003311708057490259
2018-04-20,456.3475341796875,457.5374525057616,450.80622133062485,452.87108379076153,9361380,446.7435470581055,440.2459796142578,56.16270805009715,4.129661660647685,446.7435470581055,460.343863063988,433.143231052223,0.0087158398231455
2018-04-23,451.6461486816406,461.73717073019077,434.0422846160355,461.73717073019077,15304620,447.5368286132813,440.427734375,54.83550489222075,3.9243194256740708,447.5368286132813,460.2677474887789,434.8059097377836,-0.010302204232346512
2018-04-24,451.47113037109375,454.51594706144596,449.3712646484375,451.47113037109375,5037416,448.6270050048828,440.7179809570313,64.9263055914793,3.7047555937203356,448.6270050048828,458.2762449722559,438.9777650375097,-0.0003875120181091596
2018-04-25,448.1463317871094,452.1710743217066,446.1047957188354,449.81456409914915,4020592,448.9454818725586,440.903701171875,53.658471580487834,3.22528711362429,448.9454818725586,458.04770037968103,439.8432633654362,-0.0073643658704189985
2018-04-26,450.36285400390625,452.45104234891915,445.9298042818111,447.224732829976,7847480,449.384700012207,441.2805096435547,52.182127133312726,2.9896963489217683,449.384700012207,457.81294143689024,440.9564585875238,0.00494597871181468
2018-04-27,448.7646789550781,451.5878262932621,446.22150234351005,451.0045302117673,5777008,449.819841003418,441.498662109375,44.71824146796248,2.6435563288189883,449.819841003418,457.03239678889247,442.6072852179435,-0.00354863869126798
