Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI,MACD,BB_Mid,BB_Upper,BB_Lower,Daily_Return
2018-03-14,410.3902282714844,411.7154130953788,406.03918363386197,410.27979866009423,14724464,409.90982208251955,410.83326538085936,49.89648951163647,-0.5537692357756896,409.90982208251955,423.15313054038876,396.66651362465035,-0.0030047015186241977
2018-03-15,402.7703552246094,410.5669218033103,401.9752620106834,408.60121571667827,12711836,409.42723083496094,410.8513757324219,46.00700931908843,-0.9717311582854791,409.42723083496094,422.98476474676227,395.8696969231596,-0.018567384216161775
2018-03-16,397.5800476074219,401.8427486428174,391.3958123202465,401.53351623740934,30814962,408.6409515380859,410.75331237792966,39.24529744775388,-1.7021619769131462,408.6409515380859,423.0487782677943,394.2331248083775,-0.012886518458621543
2018-03-19,395.5701599121094,400.60586811883854,394.0240863848267,397.99967032673925,12630833,408.0711212158203,410.5828045654297,36.42361186498821,-2.415371899088939,408.0711212158203,423.61447012940795,392.5277723022327,-0.005055303221093932
2018-03-20,393.0522766113281,399.32485543939316,391.83752140311753,394.59835013975066,15192983,407.24950103759767,410.31334899902345,30.163346676510372,-3.1474857834874115,407.24950103759767,424.1557185383037,390.34328353689165,-0.006365200300600726
2018-03-21,396.18853759765625,398.5959619191376,394.598321826149,395.28298536522124,14715126,406.7150054931641,410.08055725097654,31.52834913253443,-3.4350244372151906,406.7150054931641,424.3316210104243,389.09838997590384,0.007979246458937217
2018-03-22,401.1579895019531,402.8365783273498,395.6805341311348,395.790963726594,22129723,406.24676818847655,409.9003302001953,37.51161801675738,-3.224734917858882,406.24676818847655,423.93492134884383,388.5586150281093,0.012543149113878549
2018-03-23,394.8634033203125,397.5579449540399,392.7430956959439,393.4056733990502,23469999,405.574235534668,409.4846618652344,40.00662059985012,-3.525361287065607,405.574235534668,423.9412393148736,387.2072317544624,-0.01569104030423396
2018-03-26,398.0438232421875,399.4573516819354,394.2449268584004,394.88544805847977,13227705,404.8420669555664,409.1202331542969,46.639073320822654,-3.467010998094281,404.8420669555664,423.18263995482494,386.50149395630785,0.008054481360216137
2018-03-27,397.46954345703125,402.30650742234764,396.23270243722345,400.73837759916535,15179544,403.98289794921874,408.7849578857422,54.01195735331999,-3.427596355714968,403.98289794921874,421.9953305126286,385.9704653858089,-0.0014427551732333344
2018-03-28,389.916015625,395.72479051036765,388.7233462520352,395.70270458655745,19160609,402.4854309082031,408.19922302246096,38.08530448545429,-3.96021563554325,402.4854309082031,419.9083634198993,385.06249839650695,-0.019004041835089303
2018-04-02,394.4437255859375,397.9775911440199,391.5945826015695,394.4658115084952,12494499,401.12490234375,407.70271850585937,42.20502138345416,-3.9711944403989605,401.12490234375,416.35718167522305,385.892623012277,0.011612013304147073
2018-04-03,397.359130859375,398.30885495689813,391.04238048147505,393.5823498776638,13922126,400.04597625732424,407.49598815917966,37.041656404102234,-3.701972348995753,400.04597625732424,412.82516508229395,387.26678743235453,0.007391181768975352
2018-04-04,395.3050842285156,402.77033205135723,394.04615722501836,399.6340427596775,14214534,399.4010482788086,407.23448303222654,34.82537942367776,-3.6127112126202405,399.4010482788086,411.74115229548846,387.06094426212877,-0.005169244824995145
