Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI,MACD,BB_Mid,BB_Upper,BB_Lower,Daily_Return
2018-03-14,1185.424072265625,1200.2681109604603,1180.5582639295483,1187.9083542850394,3668668,1231.745428466797,1211.804375,33.876003471937324,0.04927989053726378,1231.745428466797,1286.818064138439,1176.672792795155,3.429220729667115e-05
2018-03-15,1178.36181640625,1191.8507878673722,1172.5721069305437,1188.7505720251438,2348906,1230.8810791015626,1213.696181640625,31.626355629231654,-3.945349492104242,1230.8810791015626,1288.8077640176814,1172.9543941854438,-0.0059575775662099595
2018-03-16,1160.2939453125,1179.3057538028768,1151.7940945045507,1177.991784154938,7197482,1228.824884033203,1215.344609375,25.460963573858294,-8.471395283793754,1228.824884033203,1293.6623838212608,1163.9873842451452,-0.01533304189103235
2018-03-19,1162.47021484375,1169.4507848375133,1157.953375436021,1161.648971315072,3489940,1226.7296752929688,1216.9755297851561,28.68497141763841,-11.74729689263836,1226.7296752929688,1297.3447907218604,1156.1145598640771,0.001875619139479312
2018-03-20,1176.3701171875,1179.7987496896717,1157.5430641430607,1157.9536860175351,4024984,1225.5234802246093,1218.7332788085937,32.03439340343765,-13.071190024366842,1225.5234802246093,1298.7994923555998,1152.2474680936189,0.011957211605304163
2018-03-21,1173.0439453125,1184.3565970919333,1170.2722478833027,1179.5112393139605,3907678,1223.716748046875,1220.1615112304687,31.982485095328016,-14.224804450657075,1223.716748046875,1300.3926713502433,1147.0408247435066,-0.002827487562292341
2018-03-22,1162.6142578125,1180.9279328456714,1159.0007653498428,1174.357983004287,2326094,1219.3857116699219,1221.1746850585937,30.064735143083624,-15.798525246746067,1219.3857116699219,1299.6921813892975,1139.0792419505462,-0.008891131096731009
2018-03-23,1157.1939697265625,1163.743468678423,1148.9405303827843,1150.5624667010075,3654122,1214.6214660644532,1222.1236938476563,18.904107124151977,-17.283844860260842,1214.6214660644532,1297.9117728926292,1131.3311592362772,-0.004662155181320404
2018-03-26,1156.7216796875,1160.9921065627746,1142.1651560579753,1157.5429233365505,2964210,1209.3080444335938,1222.263623046875,21.82435580509896,-18.288265473848696,1209.3080444335938,1293.1628909364879,1125.4531979306996,-0.0004081338577784921
2018-03-27,1169.3277587890625,1175.6102928032913,1159.2059708352,1160.006663349388,2494574,1205.530322265625,1222.7875805664062,28.398062761607918,-17.861178271562267,1205.530322265625,1289.4447478959803,1121.6158966352698,0.01089810913284528
2018-03-28,1169.923095703125,1180.5377096444097,1160.0066190418981,1164.4823566934595,6865654,1201.563720703125,1223.4393701171875,30.355295632011845,-17.275528336209618,1201.563720703125,1284.2668472481666,1118.8605941580834,0.0005091274961941394
2018-04-02,1194.7657470703125,1196.5519920999677,1166.1659772010667,1166.1659772010667,1662988,1198.9890991210937,1224.8358569335937,35.33649703455552,-14.638063709862081,1198.9890991210937,1278.9958465465868,1118.9823516956005,0.02123443109929979
2018-04-03,1195.4229736328125,1203.0810317582661,1187.559604562982,1187.559604562982,1937290,1196.3929504394532,1225.387265625,32.72856867992515,-12.35243017471953,1196.3929504394532,1273.0942315494742,1119.6916693294322,0.0005500882194786616
2018-04-04,1195.2791748046875,1204.7645802087823,1187.5184614736872,1202.8962306292508,2841820,1192.3904296875,1225.6236474609375,54.96075018908936,-10.432394346584033,1192.3904296875,1259.5030686994226,1125.2777906755775,-0.00012029116998479861
2018-04-05,1214.59912109375,1216.98074834412,1199.159796633497,1201.7056325565154,1809424,1190.6483764648438,1226.0067846679688,62.25638711397832,-7.268012790409102,1190.6483764648438,1253.1781358450392,1128.1186170846483,0.016163542958254506
2018-04-06,1211.4578857421875,1215.4408983659882,1201.705615020501,1212.9771668152464,1129018,1189.0644165039062,1225.9903686523437,64.3772490717359,-4.956552991930721,1189.0644165039062,1247.464405531137,1130.6644274766754,-0.0025862321954702727
2018-04-09,1200.6173095703125,1216.877976588584,1196.962814832368,1207.1051555119252,1235866,1187.4208984375,1224.4094848632812,68.69046931988055,-3.953870588122072,1187.4208984375,1242.301006398915,1132.540790476085,-0.008948372287191475
2018-04-10,1206.242919921875,1214.3116000659884,1201.3564592173486,1201.3564592173486,1184532,1185.4396667480469,1223.0593676757812,69.66061363686208,-2.674468214208673,1185.4396667480469,1233.9239042013382,1136.9554292947555,0.004685598239105637
2018-04-11,1237.676025390625,1242.131313341581,1209.5279728531725,1211.5810824620016,3124416,1184.65947265625,1221.7416821289062,73.78890307814152,0.8658750302588487,1184.65947265625,1228.8601894077967,1140.4587559047034,0.026058685982410346
2018-04-12,1289.04443359375,1293.4586177654894,1235.1297733811252,1235.9715680870231,6114360,1189.8425231933593,1221.8911450195312,82.78772011421995,7.727545462723128,1189.8425231933593,1254.1419979805214,1125.5430484061972,0.041503921179141035
2018-04-13,1294.81396484375,1330.7433785276564,1286.1088012353737,1293.4588926206322,8179118,1195.3120178222657,1221.5170629882812,88.37747119333106,13.475682391716873,1195.3120178222657,1274.8364994532258,1115.7875361913057,0.004475820305057221
2018-04-16,1308.918701171875,1313.9693699810884,1277.341920979666,1279.4976856940093,6270274,1201.839862060547,1221.8028540039063,91.93131912062674,18.950803597112554,1201.839862060547,1295.6555764488216,1108.0241476722722,0.010893253170795925
2018-04-17,1300.2750244140625,1311.9160922266506,1292.308901390736,1308.9185330541995,3301724,1208.838916015625,1222.2483764648437,87.95861439432527,22.334940827530545,1208.838916015625,1310.1880022973544,1107.4898297338957,-0.0066036773331099585
