iter	Logloss
0	0.6612704928
1	0.6318238857
2	0.6062569687
3	0.5835291946
4	0.5558706629
5	0.5358055413
6	0.5210203052
7	0.5051539195
8	0.4865811563
9	0.4696505117
10	0.4494280738
11	0.4339393854
12	0.4218696123
13	0.4100125772
14	0.3992645699
15	0.3862178487
16	0.37667144
17	0.3661783302
18	0.355381335
19	0.3469349849
20	0.3362492549
21	0.327413851
22	0.3192167088
23	0.3111340839
24	0.3024645743
25	0.2952606854
26	0.2895266119
27	0.2839256656
28	0.276752708
29	0.2711945102
30	0.2649925834
31	0.257877619
32	0.2520320487
33	0.2467928013
34	0.2421327859
35	0.2371510285
36	0.2312596357
37	0.2273391157
38	0.2224528667
39	0.2187554613
40	0.214501752
41	0.209943929
42	0.2062088212
43	0.2017092206
44	0.1968443742
45	0.1930003697
46	0.1895359944
47	0.1863364896
48	0.1820911352
49	0.1787562749
50	0.1752003276
51	0.1718269283
52	0.1683230826
53	0.1657387549
54	0.1624915272
55	0.1597206369
56	0.1574657679
57	0.1550398332
58	0.1525951657
59	0.1498548844
60	0.1468492338
61	0.1444624998
62	0.1423924075
63	0.1401580466
64	0.1381510736
65	0.1356712537
66	0.1339770792
67	0.1321853681
68	0.1304482107
69	0.1287965761
70	0.1269320987
71	0.1246915206
72	0.1231837146
73	0.1212743907
74	0.1196382308
75	0.1180444948
76	0.1165953939
77	0.1150467621
78	0.1136553419
79	0.112383135
80	0.1110485521
81	0.1095698798
82	0.1083071862
83	0.1070419444
84	0.105829535
85	0.1046421149
86	0.1034200554
87	0.1022384907
88	0.1010944511
89	0.09998095289
90	0.09890584759
91	0.09782675706
92	0.09678451955
93	0.0957561595
94	0.09482027635
95	0.09382164642
96	0.09285140373
97	0.09191067651
98	0.09106883548
99	0.09021629453
