Timestamp,Ticker,Signal,Confidence,ClosePrice,ModelProbabilities
2026-06-01T16:42:44.467849,AAPL,HOLD,0.5933,312.0600,{'rf': 0.5932663076405169}
2026-06-01T16:46:52.527497,AAPL,HOLD,0.5933,312.0600,{'rf': 0.5932663076405169}
2026-06-01T16:46:54.536871,MSFT,HOLD,0.5360,450.2400,{'rf': 0.5360491741964508}
2026-06-01T16:46:57.584289,NVDA,HOLD,0.5069,211.1400,{'rf': 0.5068878711109938}
2026-06-01T16:47:00.890128,GOOGL,SELL,0.3433,380.3400,{'rf': 0.34330582352442623}
2026-06-01T16:47:03.816155,TSLA,HOLD,0.5548,435.7900,{'rf': 0.5547572278157313}
2026-06-01T16:48:51.237452,AAPL,HOLD,0.5933,312.0600,{'rf': 0.593266307640517}
2026-06-01T16:48:51.398570,MSFT,HOLD,0.5360,450.2400,{'rf': 0.5360491741964508}
2026-06-01T16:48:51.554666,GOOGL,SELL,0.3433,380.3400,{'rf': 0.34330582352442623}
2026-06-01T16:48:51.704742,TSLA,HOLD,0.5548,435.7900,{'rf': 0.5547572278157312}
2026-06-01T16:48:51.866044,NVDA,HOLD,0.5069,211.1400,{'rf': 0.5068878711109938}
2026-06-01T17:00:56.990979,AAPL,BUY,1.0000,160.0000,"{'rf': 1.0, 'finbert': 0.8999999999999999}"
2026-06-01T21:02:10.065097,AAPL,HOLD,0.5634,312.0600,"{'rf': 0.48990785210591214, 'finbert': 0.7349489225074649}"
2026-06-01T21:02:10.554357,MSFT,HOLD,0.5231,450.2400,"{'rf': 0.45580860992028815, 'finbert': 0.6801773499697447}"
2026-06-01T21:02:11.115605,GOOGL,HOLD,0.4910,380.3400,"{'rf': 0.43157831910767086, 'finbert': 0.6295645854435861}"
2026-06-01T21:02:11.660268,TSLA,HOLD,0.6245,435.7900,"{'rf': 0.7068556538747373, 'finbert': 0.43243990195915105}"
2026-06-01T21:02:12.192739,NVDA,HOLD,0.4441,211.1400,"{'rf': 0.42566963146677017, 'finbert': 0.4870259191375226}"
2026-06-27T15:40:02.053893,AAPL,HOLD,0.5382,283.7800,"{'catboost': 0.6961384205670916, 'finbert': 0.16978966002352536}"
2026-06-27T15:40:02.516663,MSFT,HOLD,0.4488,372.9700,"{'catboost': 0.48990363362700196, 'finbert': 0.35276917621959003}"
2026-06-27T15:40:11.595694,GOOGL,SELL,0.3246,337.3900,"{'catboost': 0.19923629675652488, 'finbert': 0.6170982409268617}"
2026-06-27T15:40:12.907777,TSLA,HOLD,0.5150,379.7100,"{'catboost': 0.49575817026152214, 'finbert': 0.560043067112565}"
2026-06-27T15:40:14.029991,NVDA,BUY,0.6618,192.5300,"{'catboost': 0.708532686425584, 'finbert': 0.5527053089812398}"
2026-06-27T15:40:34.088139,AAPL,HOLD,0.5382,283.7800,"{'catboost': 0.6961384205670916, 'finbert': 0.16978966002352536}"
2026-06-27T15:40:34.123381,MSFT,HOLD,0.4488,372.9700,"{'catboost': 0.48990363362700196, 'finbert': 0.35276917621959003}"
2026-06-27T15:40:34.155418,GOOGL,SELL,0.3246,337.3900,"{'catboost': 0.19923629675652488, 'finbert': 0.6170982409268617}"
2026-06-27T15:40:34.195607,TSLA,HOLD,0.5150,379.7100,"{'catboost': 0.49575817026152214, 'finbert': 0.560043067112565}"
2026-06-27T15:40:34.229800,NVDA,BUY,0.6618,192.5300,"{'catboost': 0.708532686425584, 'finbert': 0.5527053089812398}"
2026-07-08T10:46:10.805178,NVDA,HOLD,0.5462,196.9300,"{'rf': 0.5616406273187463, 'finbert': 0.5103362348629161}"
2026-07-08T10:50:58.863179,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T10:51:51.945956,TSLA,HOLD,0.5762,402.9000,"{'rf': 0.5338042359408663, 'finbert': 0.6750277872662991}"
2026-07-08T10:52:38.891347,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T10:53:20.807743,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T10:53:20.984922,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T10:53:21.155684,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T10:53:38.283367,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T10:53:38.351872,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T10:53:38.440686,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T10:53:38.532248,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T10:53:39.302174,MSFT,HOLD,0.5463,388.8400,"{'rf': 0.4880871813462169, 'finbert': 0.682204645080492}"
2026-07-08T10:53:58.294368,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T10:54:43.016629,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T10:55:32.238236,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T11:05:21.422993,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T11:05:39.094215,TSLA,HOLD,0.5762,402.9000,"{'rf': 0.5338042359408663, 'finbert': 0.6750277872662991}"
2026-07-08T11:06:13.623086,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T11:06:13.701290,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T11:06:13.801937,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T11:06:13.893616,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T11:06:14.009611,MSFT,HOLD,0.5463,388.8400,"{'rf': 0.488087181346217, 'finbert': 0.682204645080492}"
2026-07-08T11:06:35.769323,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T11:10:34.529096,NVDA,HOLD,0.5462,196.9300,"{'rf': 0.5616406273187463, 'finbert': 0.5103362348629161}"
2026-07-08T11:15:01.105704,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T11:15:01.170288,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T11:15:01.256646,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T11:15:01.336054,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T11:15:01.403429,MSFT,HOLD,0.5463,388.8400,"{'rf': 0.4880871813462169, 'finbert': 0.682204645080492}"
2026-07-08T11:15:54.953690,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T11:15:55.172566,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T11:15:55.392083,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T11:15:55.608537,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T11:15:55.814792,MSFT,HOLD,0.5463,388.8400,"{'rf': 0.4880871813462169, 'finbert': 0.682204645080492}"
2026-07-08T11:41:57.169829,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T11:41:57.322843,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T11:41:57.491456,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T11:41:57.639710,AAPL,BUY,0.8388,310.6600,"{'rf': 1.0, 'finbert': 0.4625426717568189}"
2026-07-08T11:41:57.810010,MSFT,HOLD,0.5463,388.8400,"{'rf': 0.48808718134621687, 'finbert': 0.682204645080492}"
2026-07-08T13:09:59.481983,NVDA,HOLD,0.5462,196.9300,"{'rf': 0.5616406273187463, 'finbert': 0.5103362348629161}"
2026-07-09T13:23:30.523592,AAPL,BUY,0.8821,313.3900,"{'rf': 1.0, 'finbert': 0.6069779033772648}"
2026-07-09T13:23:59.222346,AAPL,BUY,0.8821,313.3900,"{'rf': 1.0, 'finbert': 0.6069779033772648}"
2026-07-09T13:23:59.435886,AAPL,BUY,0.8821,313.3900,"{'rf': 1.0, 'finbert': 0.6069779033772648}"
2026-07-09T13:23:59.643570,AAPL,BUY,0.8821,313.3900,"{'rf': 1.0, 'finbert': 0.6069779033772648}"
2026-07-09T13:23:59.838751,AAPL,BUY,0.8821,313.3900,"{'rf': 1.0, 'finbert': 0.6069779033772648}"
2026-07-09T13:24:10.296069,MSFT,HOLD,0.4963,383.3400,"{'rf': 0.5061923116521145, 'finbert': 0.47309038280509413}"
2026-07-09T13:31:16.831889,AAPL,BUY,0.8821,313.3900,"{'rf': 1.0, 'finbert': 0.6069779033772648}"
2026-07-09T13:31:16.897767,AAPL,BUY,0.8821,313.3900,"{'rf': 1.0, 'finbert': 0.6069779033772648}"
2026-07-09T13:31:16.960629,AAPL,BUY,0.8821,313.3900,"{'rf': 1.0, 'finbert': 0.6069779033772648}"
2026-07-09T13:31:17.049917,AAPL,BUY,0.8821,313.3900,"{'rf': 1.0, 'finbert': 0.6069779033772648}"
2026-07-09T13:31:17.144456,MSFT,HOLD,0.4963,383.3400,"{'rf': 0.5061923116521144, 'finbert': 0.47309038280509413}"
2026-07-09T13:33:57.102762,AAPL,BUY,0.8821,313.3900,"{'rf': 1.0, 'finbert': 0.6069779033772648}"
2026-07-09T13:36:15.086504,AAPL,BUY,0.8821,313.3900,"{'rf': 1.0, 'finbert': 0.6069779033772648}"
2026-07-09T13:36:15.170268,AAPL,BUY,0.8821,313.3900,"{'rf': 1.0, 'finbert': 0.6069779033772648}"
2026-07-09T13:36:15.233302,AAPL,BUY,0.8821,313.3900,"{'rf': 1.0, 'finbert': 0.6069779033772648}"
2026-07-09T13:36:15.300009,AAPL,BUY,0.8821,313.3900,"{'rf': 1.0, 'finbert': 0.6069779033772648}"
2026-07-09T13:36:15.364516,MSFT,HOLD,0.4963,383.3400,"{'rf': 0.5061923116521145, 'finbert': 0.47309038280509413}"
2026-07-09T13:36:43.950262,AAPL,BUY,0.8821,313.3900,"{'rf': 1.0, 'finbert': 0.6069779033772648}"
2026-07-09T13:36:44.016407,AAPL,BUY,0.8821,313.3900,"{'rf': 1.0, 'finbert': 0.6069779033772648}"
2026-07-09T13:36:44.078033,AAPL,BUY,0.8821,313.3900,"{'rf': 1.0, 'finbert': 0.6069779033772648}"
2026-07-09T13:36:44.137518,AAPL,BUY,0.8821,313.3900,"{'rf': 1.0, 'finbert': 0.6069779033772648}"
2026-07-09T13:36:44.203472,MSFT,HOLD,0.4963,383.3400,"{'rf': 0.5061923116521146, 'finbert': 0.47309038280509413}"
2026-07-09T13:50:59.154841,NVDA,HOLD,0.5038,204.1200,"{'rf': 0.5013433078979596, 'finbert': 0.5095239058602601}"
