Date,Close,High,Low,Open,Volume
2018-01-01,432.6889953613281,438.8136036806783,431.75572171266526,436.93537907024364,6580516
2018-01-02,436.8537292480469,437.47202874492336,433.63395220523535,433.63395220523535,4776316
2018-01-03,432.2573547363281,438.2303002912187,431.91902595561834,437.47201546441374,4531288
2018-01-04,433.9489440917969,435.25552157475755,432.3390412640181,432.3390412640181,2373776
2018-01-05,434.812255859375,435.8505400461768,432.93405943368197,434.67227048622647,2870868
2018-01-08,434.11224365234375,436.4687539823326,433.44729185604155,435.13885038972813,4570308
2018-01-09,434.8355407714844,436.2704547930066,432.805681850187,434.4389108383009,5305528
2018-01-10,434.9522399902344,435.81553533782073,433.3423654817401,435.18555843856757,4615888
2018-01-11,436.9004211425781,437.7053583034603,433.0973194833679,434.9521895399674,4059096
2018-01-12,435.2088928222656,438.2070290476211,433.97229371112456,437.00543339835286,4336708
2018-01-15,442.7800598144531,444.3316331027293,433.9372854358322,436.29379593198075,12576444
2018-01-16,443.34002685546875,445.63820772786687,439.86357650207384,444.109960596822,6445384
2018-01-17,441.0884704589844,443.89996879622515,440.2718559937072,442.60504018021334,2905496
2018-01-18,451.307861328125,455.9042231164803,447.5164367500069,448.9046700491853,16649540
2018-01-19,455.4842224121094,457.28079139118796,447.7963916245769,451.5061603151383,11455988
2018-01-22,458.08575439453125,463.8370596482925,455.70591769427034,457.30414331521797,8849768
2018-01-23,455.2742614746094,458.8673424928477,453.40771404435424,458.47071255641987,5047796
2018-01-24,456.7558288574219,459.4039873339698,455.1109225382041,455.5659105641331,4790568
2018-01-25,460.7922058105469,461.97047523331474,455.087581789182,455.8808701196716,8723668
2018-01-29,466.5552062988281,468.2584137565709,461.50385657084894,461.50385657084894,8235892
2018-01-30,465.5869445800781,467.0801882845037,462.9387859962069,466.12358838176783,6397560
2018-01-31,467.9667663574219,469.7866615144193,463.60372308376014,464.1636930152404,6943348
2018-02-01,464.5719909667969,470.13662974670444,463.2070838670087,468.03676390664475,6521420
2018-02-02,454.5043029785156,464.2803509205568,452.9877331790493,463.3704033446263,7346124
2018-02-05,446.53643798828125,451.52945771115276,444.66989068860977,447.5047150962361,7926784
2018-02-06,442.5583801269531,446.1048086357407,428.44261604616736,433.97225107870173,10749804
2018-02-07,436.9588317871094,444.938311881949,434.53231405961907,444.938311881949,8364972
2018-02-08,438.86029052734375,442.9783665225845,435.48885059857577,439.57192313298515,5171444
