Date,Close,High,Low,Open,Volume
2018-01-01,1083.771484375,1103.9262704894843,1079.4291487432424,1098.80563885408,1351760
2018-01-02,1077.8724365234375,1093.6030766199972,1073.3662807687306,1089.6703915927735,1920290
2018-01-03,1080.9241943359375,1093.3571263546792,1077.8723182757037,1078.20005866074,1257120
2018-01-04,1088.4825439453125,1090.4897916861535,1081.4774793581687,1085.573984961798,913082
2018-01-05,1101.632080078125,1105.8515001366777,1085.5738008380056,1085.5738008380056,1153706
2018-01-08,1111.9554443359375,1117.0556738374294,1098.6213985665263,1106.0565162541861,1242220
2018-01-09,1109.743408203125,1114.6592151054645,1096.4502670405184,1112.2013116542946,2149396
2018-01-10,1149.7252197265625,1153.5758947110753,1103.8647627944968,1110.5625889778853,3365850
2018-01-11,1143.1298828125,1155.9928703367914,1139.729763176509,1151.118068698486,2520744
2018-01-12,1137.333251953125,1149.069699250699,1122.667743453983,1149.069699250699,3360314
2018-01-15,1124.941650390625,1150.2989847285205,1120.4149908649154,1137.6612226157142,1457214
2018-01-16,1167.852294921875,1172.2764407930922,1126.7643253015144,1128.9969007668183,4267752
2018-01-17,1183.4603271484375,1198.228254354149,1172.481668781282,1175.6974666654385,4280806
2018-01-18,1195.4422607421875,1201.5051091166054,1174.898324878664,1186.7576887524056,2209478
2018-01-19,1212.2789306640625,1221.5779784384388,1189.481816833685,1200.5014769819347,1820000
2018-01-22,1279.6614990234375,1287.1758966134223,1199.8366760743277,1215.8509232909255,4367110
2018-01-23,1273.7491455078125,1290.3177794249,1268.8422338076075,1279.0666791117917,3239610
2018-01-24,1303.559814453125,1338.2368003076454,1265.8030653025835,1268.8211751880042,5621538
2018-01-25,1281.5712890625,1305.6953216971872,1265.1258646378105,1303.72431685331,3833844
2018-01-29,1313.5179443359375,1324.2556672434018,1281.9616102740777,1285.8214161501228,3141060
2018-01-30,1294.629150390625,1315.5503137682058,1290.8719002829139,1305.7774936089106,1574758
2018-01-31,1277.9990234375,1293.4588968187318,1272.3529726974182,1288.1208124826544,3043214
2018-02-01,1288.7779541015625,1309.8838799673856,1268.3289631355594,1282.782834174957,2400630
2018-02-02,1294.9576416015625,1309.8837869222402,1274.3444434371966,1281.140255547771,2456490
2018-02-05,1274.241455078125,1309.0622011820428,1263.4216316013408,1277.0337031606502,2757742
2018-02-06,1230.736328125,1263.544973525982,1225.7062105106766,1235.9717566623572,2657306
2018-02-07,1213.4083251953125,1244.5950399809647,1210.2875585023596,1242.9525523003563,2180324
2018-02-08,1221.271240234375,1243.1985027575197,1215.0298094214052,1223.5502110927448,2755004
2018-02-09,1220.2452392578125,1229.4021288714512,1189.42804159542,1211.3347629160926,2102458
2018-02-12,1218.4378662109375,1241.4532339767052,1213.6130609359764,1222.9547051917523,1974562
2018-02-14,1195.6484375,1221.3738501625141,1187.7234176366655,1219.5466034160402,2847532
2018-02-15,1201.41796875,1208.4600933122235,1192.8975654417334,1203.9227018620227,2465236
2018-02-16,1204.374755859375,1231.7016672572306,1200.2479851250728,1200.2479851250728,2515756
2018-02-19,1200.49462890625,1212.6900833698057,1188.832902891815,1209.2819004087326,1568224
2018-02-20,1209.1790771484375,1225.7271630134612,1202.260056676803,1202.3011589746582,1889068
2018-02-21,1249.23486328125,1257.5705068125887,1215.4612164167795,1221.1893711238374,3089228
2018-02-22,1252.4788818359375,1264.3048124406546,1241.1046754147058,1253.2180212955109,3463010
2018-02-23,1262.990966796875,1268.4111562850019,1228.6219309124735,1252.3969008317433,3362500
2018-02-26,1244.8822021484375,1268.8009241338098,1240.5706728635207,1262.6621477256558,1363882
2018-02-27,1249.255126953125,1264.1196143215434,1245.0051517213144,1248.700747488297,1717800
2018-02-28,1246.2576904296875,1258.1246201241324,1240.673193956148,1246.237139290186,2706864
2018-03-01,1247.345703125,1256.9953145068382,1240.0777180064424,1251.9857490733916,1718124
2018-03-05,1275.3297119140625,1278.532481639685,1245.3953236174189,1251.985823321067,2858168
2018-03-06,1249.440185546875,1284.0145252757513,1244.2457589933722,1281.9614160252306,1906764
2018-03-07,1243.136962890625,1268.4107550259325,1239.4619177875616,1260.6089407347404,1917772
2018-03-08,1233.487548828125,1254.4087130969876,1226.732839102877,1254.4087130969876,1951826
2018-03-09,1245.8675537109375,1257.8165870802927,1222.5031148247442,1233.9184200921266,1872436
2018-03-12,1253.279541015625,1266.3167858104139,1246.442726758466,1249.5223908832195,2091340
2018-03-13,1185.38330078125,1207.1051588215032,1179.3060767148559,1201.0279347551088,88067154
2018-03-14,1185.4241943359375,1200.2682345593537,1180.558385498799,1187.9084766111737,3668668
2018-03-15,1178.361572265625,1191.8505409320148,1172.571863989468,1188.7503257321093,2348906
2018-03-16,1160.2943115234375,1179.3061260143043,1151.7944580327726,1177.9921559516513,7197482
2018-03-19,1162.4703369140625,1169.4509076408513,1157.9534970320226,1161.6490932991462,3489940
2018-03-20,1176.3699951171875,1179.7986272635746,1157.5429440264056,1157.9535658582704,4024984
2018-03-21,1173.044189453125,1184.356843587012,1170.2724914470662,1179.5114848005956,3907678
2018-03-22,1162.6142578125,1180.9279328456714,1159.0007653498428,1174.357983004287,2326094
2018-03-23,1157.194091796875,1163.7435914396303,1148.9406515824564,1150.5625880717746,3654122
2018-03-26,1156.721923828125,1160.9923516047268,1142.1653971262633,1157.543167650509,2964210
