Date,Open,High,Low,Close,Volume,daily_return,return_5d,return_20d,ma10,ma20,ma50,ema20,ema50,volatility_20d,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,skew_20d,kurt_20d,spy_return_1d,spy_return_5d,spy_return_20d,spy_rsi,spy_macd,spy_volatility_20d,spy_trend_strength,relative_strength_5d,relative_strength_20d,relative_strength_50d,relative_momentum_score,volume_sma_20,volume_ratio,volume_momentum,volume_trend,abnormal_volume_flag,market_regime
2024-06-27,195.1699981689453,198.72000122070312,194.0500030517578,197.4199981689453,72746500,,,,,,,197.4199981689453,197.4199981689453,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-28,199.5500030517578,203.1999969482422,195.25999450683597,197.8800048828125,95438100,0.002330091774560339,,,,,,197.46380833217074,197.4380376479205,,,0.036695692274321345,0.00733913845486427,,,,,,-0.003934951287109856,0.0,0.0,0.0,-0.1675388955661674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,201.0200042724609,213.22999572753903,200.8500061035156,209.8600006103516,135691400,0.06054171938510833,,,,,,198.64439807294985,197.9251734503688,,,1.020696868848205,0.21001068453353242,,,,,,0.002058023732368186,0.0,0.0,0.0,-0.20961236221069157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,218.88999938964844,231.3000030517578,218.05999755859372,231.25999450683597,205047900,0.10197271435359356,,,,,,201.75064535236757,199.23242133493613,,,3.487128108688637,0.8654341693645534,,,,,,0.006729662300142714,0.0,0.0,0.0,0.04580236810375027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-03,234.55999755859372,248.3500061035156,234.25,246.38999938964844,166561500,0.06542422054051045,,,,,,206.00201240353715,201.08173812139546,,,6.58672986150944,2.0096933077935306,,,,,,0.004462634526017029,0.0,0.0,0.0,0.43631588850519165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-05,249.80999755859372,252.3699951171875,242.4600067138672,251.5200042724609,154501200,0.02082067005771493,0.27403508563108514,,,,,210.33705924819657,203.0597093430059,,,9.349361483442323,3.4776269429232896,,,,,,0.005766484349109424,0.015136354467181645,0.0,0.0,0.985109117298407,0.0,0.0,0.2588987311639035,0.0,0.0,0.0,0.0,0.0,1.123830012440461,0.0,0.0,0.0
2024-07-08,247.7100067138672,259.44000244140625,244.57000732421875,252.94000244140625,157219600,0.005645666924397386,0.2782494249037497,,,,,214.3944824094546,205.01579926843337,,,11.520547235089737,5.086211001356579,,,,,,0.0011538715866978855,0.020322611235574328,0.0,0.0,1.453721164027911,0.0,0.0,0.2579268136681754,0.0,0.0,0.0,0.0,0.0,0.6473462904227976,0.0,0.0,0.0
2024-07-09,251.0,265.6099853515625,250.3000030517578,262.3299865722656,160210900,0.03712336538398886,0.2500237577876281,,,,,218.9597685201985,207.26341445681894,,,13.839388968499264,6.836846594785117,,,,,,0.0009725098044246483,0.01921731156303963,0.0,0.0,1.8463826459300208,0.0,0.0,0.23080644622458846,0.0,0.0,0.0,0.0,0.0,0.18070047180587712,0.0,0.0,0.0
2024-07-10,262.79998779296875,267.5899963378906,257.8599853515625,263.260009765625,128519400,0.003545241645880992,0.13837246397514336,,,,,223.17883911500104,209.45935937088979,,,15.572621362310343,8.584001548290162,,,,,,0.009895281643110376,0.02242219779714527,0.0,0.0,2.561581658755813,0.0,0.0,0.11595026617799808,0.0,0.0,0.0,0.0,0.0,-0.37322254946283284,0.0,0.0,0.0
2024-07-11,263.29998779296875,271.0,239.6499938964844,241.02999877929688,221707300,-0.08444127539962887,-0.02175413216294997,,235.38899993896484,,,224.87894955921968,210.69742366141557,,,14.979766989750829,9.863154636582296,,,,,,-0.008622454289494041,0.009103150572020047,0.0,0.0,2.715566377465393,0.0,0.0,-0.030857282734970015,0.0,0.0,0.0,0.0,0.0,0.3310837138234226,0.0,0.0,0.0
