Date,Open,High,Low,Close,Volume,daily_return,return_5d,return_20d,ma10,ma20,ma50,ema20,ema50,volatility_20d,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,skew_20d,kurt_20d,spy_return_1d,spy_return_5d,spy_return_20d,spy_rsi,spy_macd,spy_volatility_20d,spy_trend_strength,relative_strength_5d,relative_strength_20d,relative_strength_50d,relative_momentum_score,volume_sma_20,volume_ratio,volume_momentum,volume_trend,abnormal_volume_flag,market_regime
2024-07-09,130.28719371816868,133.7555228326683,128.58800070420872,131.3166961669922,285366600,,,,,,,131.3166961669922,131.3166961669922,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-10,133.965420342518,135.03491211498738,132.35619546389498,134.84500122070312,248978600,0.026868670600911804,,,,,,131.65272521972656,131.45506107105928,,,0.28146023220486427,0.056292046440972854,,,,,,0.009895168120173325,0.0,0.0,0.0,0.4285947794248841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-11,135.6845824191085,136.0843835595481,126.98877797734232,127.33860778808594,374782700,-0.055666827577325995,,,,,,131.24185689290363,131.29363153055053,,,-0.10003063157222414,0.025027510838333454,,,,,,-0.008622565598673693,0.0,0.0,0.0,0.38233469570627676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-12,128.19821072594715,131.856451337425,127.15871841221467,129.17774963378906,252680500,0.014442924087593179,,,,,,131.04527524917842,131.2106557698932,,,-0.25106736471389013,-0.030191464272111265,,,,,,0.0063076263231880425,0.0,0.0,0.0,0.6152639589474802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-15,130.49710188740187,131.32670387529456,127.11873290604161,128.3781280517578,208326200,-0.006190087567697455,,,,,,130.79126123037645,131.09957625153496,,,-0.43032729762552435,-0.11021863094279388,,,,,,0.0027499528880754465,0.0,0.0,0.0,0.9107506525263034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-16,128.3781021800115,128.97780386568002,124.51996185494663,126.29910278320312,214769500,-0.01619454419616162,-0.03820986614990918,,,,,130.36343661635993,130.91132239003176,,,-0.7317172687928348,-0.2345183585128021,,,,,,0.005930115520199175,0.016264015634965823,0.0,0.0,1.3913713629937092,0.0,0.0,-0.054473881784875,0.0,0.0,0.0,0.0,0.0,-0.24739089998619324,0.0,0.0,0.0
2024-07-17,121.29150949460832,121.79126850169425,116.66374383425097,117.9331283569336,390086200,-0.06623938129338913,-0.12541712863415366,,,,,129.1795977345098,130.40237360442006,,,-1.6268815335546094,-0.5129909935211636,,,,,,-0.014021017533931812,-0.007802996109187665,0.0,0.0,1.1348929001331953,0.0,0.0,-0.117614132524966,0.0,0.0,0.0,0.0,0.0,0.5667458970369341,0.0,0.0,0.0
2024-07-18,121.79127496540796,122.34101295266511,116.50382347473696,121.0316390991211,320979500,0.02627345501095868,-0.049529116098557924,,,,,128.40360167399658,130.03489381989854,,,-2.0625064506316164,-0.8228940849432542,,,,,,-0.007684866404461421,-0.006864521721166028,0.0,0.0,0.5874855025735997,0.0,0.0,-0.042664594377391896,0.0,0.0,0.0,0.0,0.0,-0.1435583873001609,0.0,0.0,0.0
2024-07-19,120.29200089882109,121.54139851435873,117.31344125378135,117.8731689453125,217223800,-0.026096235474609264,-0.08751182553128811,,,,,127.4007033188838,129.55796343265988,,,-2.632261409891697,-1.1847675499329429,,,,,,-0.006640414923902105,-0.01964307849677871,0.0,0.0,-0.13407458737958677,0.0,0.0,-0.0678687470345094,0.0,0.0,0.0,0.0,0.0,-0.14032226467812114,0.0,0.0,0.0
2024-07-22,120.29200352530061,124.01021213043963,119.8022417845173,123.48046875,258068900,0.04757062064980211,-0.03815026263495003,,125.76736907958984,,,127.02734764565676,129.31963030784968,,,-2.6013473746372853,-1.4680835148738116,,,,,,0.01030985208914803,-0.012252004095536062,0.0,0.0,-0.2568026239628125,0.0,0.0,-0.025898258539413965,0.0,0.0,0.0,0.0,0.0,0.23877313559216273,0.0,0.0,0.0
