Date,Open,High,Low,Close,Volume,daily_return,return_5d,return_20d,ma10,ma20,ma50,ema20,ema50,volatility_20d,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,skew_20d,kurt_20d,spy_return_1d,spy_return_5d,spy_return_20d,spy_rsi,spy_macd,spy_volatility_20d,spy_trend_strength,relative_strength_5d,relative_strength_20d,relative_strength_50d,relative_momentum_score,volume_sma_20,volume_ratio,volume_momentum,volume_trend,abnormal_volume_flag,market_regime
2024-06-27,445.1835846348848,449.1118693221635,444.7799248025884,445.8432312011719,14806300,,,,,,,445.8432312011719,445.8432312011719,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-28,446.0598180142048,448.33407381119525,439.5028621939787,440.0345153808594,28362300,-0.013028606052093439,,,,,,445.2900201706659,445.6154384239047,,,-0.4633733417912822,-0.09267466835825644,,,,,,-0.003934951287109856,0.0,0.0,0.0,-0.1675388955661674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,441.71806471797646,450.2932899171113,438.7644825324962,449.6632080078125,17662800,0.021881675846766813,,,,,,445.70651425039415,445.77417448601875,,,-0.05303368957117982,-0.08474647260084113,,,,,,0.002058023732368186,0.0,0.0,0.0,-0.20961236221069157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-02,446.1878533998419,452.4789681964248,446.0992194891888,452.17376708984375,13979800,0.0055831987970598185,,,,,,446.3224430922465,446.02513890185503,,,0.46933438283815576,0.02606969848695824,,,,,,0.006729662300142714,0.0,0.0,0.0,0.04580236810375027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-03,451.10061852531385,453.8868178888205,450.7954174304016,453.64068603515625,9932800,0.003244148714671047,,,,,,447.01941861061886,446.3237878090433,,,0.9902677527810511,0.2189093093457768,,,,,,0.004462634526017029,0.0,0.0,0.0,0.43631588850519165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-05,452.4986178155469,461.10340760685847,451.8685359116121,460.32562255859375,16000300,0.014736192606232379,0.0324831473125744,,,,,448.2866761294736,446.87287936784924,,,1.920392619958875,0.5592059714683965,,,,,,0.005766484349109424,0.015136354467181645,0.0,0.0,0.985109117298407,0.0,0.0,0.017346792845392756,0.0,0.0,0.0,0.0,0.0,0.08064134861511651,0.0,0.0,0.0
2024-07-08,459.33120203742016,460.4634324742541,457.27354357582976,459.0260009765625,12962300,-0.0028232657891335,0.04315908168991145,,,,,449.3094689720535,447.34947237211253,,,2.5235645963041975,0.9520776964355566,,,,,,0.0011538715866978855,0.020322611235574328,0.0,0.0,1.453721164027911,0.0,0.0,0.02283647045433712,0.0,0.0,0.0,0.0,0.0,-0.5429743003917171,0.0,0.0,0.0
2024-07-09,459.7742838174559,460.0991646310165,450.9135374483829,452.4297180175781,17207200,-0.01437017281145514,0.006152404645295206,,,,,449.60663554781775,447.5486976915426,,,2.4411774517406,1.2498976474965655,,,,,,0.0009725098044246483,0.01921731156303963,0.0,0.0,1.8463826459300208,0.0,0.0,-0.013064906917744423,0.0,0.0,0.0,0.0,0.0,-0.02579432479561561,0.0,0.0,0.0
2024-07-10,454.08377755329457,459.2426920705962,451.7602770153543,459.0359497070313,18196100,0.014601674970423861,0.015175985686547211,,,,,450.5046654677428,447.99917816273825,,,2.875802274369505,1.5750785728711536,,,,,,0.009895281643110376,0.02242219779714527,0.0,0.0,2.561581658755813,0.0,0.0,-0.00724621211059806,0.0,0.0,0.0,0.0,0.0,0.30159945063591764,0.0,0.0,0.0
2024-07-11,455.8164973230346,457.5886345893225,444.5633265323156,447.6646118164063,23111200,-0.024772216419830517,-0.013173585180335401,,451.9837310791016,,,450.2341841676155,447.9860579138625,,,2.2764323489790854,1.7153493280927399,,,,,,-0.008622454289494041,0.009103150572020047,0.0,0.0,2.715566377465393,0.0,0.0,-0.022276735752355448,0.0,0.0,0.0,0.0,0.0,1.3267557989690721,0.0,0.0,0.0
2024-07-12,447.3003398715442,449.2989293786312,443.6772860929006,446.5324096679688,16324300,-0.0025291303322895198,-0.029964034619578972,,452.0526489257812,,,449.8816342152682,447.92905210029807,,,1.6905801579975446,1.710395494073701,,,,,,0.006307625614984769,0.009646087093366784,0.0,0.0,3.0787930593411375,0.0,0.0,-0.039610121712945756,0.0,0.0,0.0,0.0,0.0,0.020249620319618966,0.0,0.0,0.0
2024-07-15,446.286273961726,450.185024234339,444.4452124667996,446.9360656738281,14429400,0.000903979189684101,-0.02633823634611865,,452.7428039550781,,,449.6011038779882,447.8901114561228,,,1.2445137620206879,1.6172191476630984,,,,,,0.0027498410077320123,0.011255594209904185,0.0,0.0,3.448285350465767,0.0,0.0,-0.037593830556022834,0.0,0.0,0.0,0.0,0.0,0.113182074168936,0.0,0.0,0.0
2024-07-16,447.19204922721934,447.27079820143007,439.7490242805094,442.5647583007813,17175700,-0.00978061004420483,-0.02180440259323002,,452.032958984375,,,448.93097572777805,447.681274077482,,,0.5321407694651157,1.400203472023502,,,,,,0.005930226787752568,0.016264242284444563,0.0,0.0,3.957974749017808,0.0,0.0,-0.038068644877674584,0.0,0.0,0.0,0.0,0.0,-0.0018306290390068813,0.0,0.0,0.0
