Date,Open,High,Low,Close,Volume,daily_return,return_5d,return_20d,ma10,ma20,ma50,ema20,ema50,volatility_20d,rsi,macd,macd_signal,bb_middle,bb_upper,bb_lower,skew_20d,kurt_20d,spy_return_1d,spy_return_5d,spy_return_20d,spy_rsi,spy_macd,spy_volatility_20d,spy_trend_strength,relative_strength_5d,relative_strength_20d,relative_strength_50d,relative_momentum_score,volume_sma_20,volume_ratio,volume_momentum,volume_trend,abnormal_volume_flag,market_regime
2024-05-30,173.7638398581773,173.78368015073974,170.38178882747087,170.6991729736328,22931500,,,,,,,170.6991729736328,170.6991729736328,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-31,170.4512300886902,171.64139042387083,168.05106912485823,171.0859832763672,37638900,0.0022660350135037532,,,,,,170.73601205008373,170.7143420051126,,,0.03085666232638573,0.0061713324652771465,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-03,171.12561727074288,173.0993099312331,169.7569399470652,171.75045776367188,27459100,0.00388386280734232,,,,,,170.8326259275683,170.75497399564435,,,0.10768697895025525,0.02647446176227277,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-04,171.85957302701576,172.42490783803038,170.48096786025872,172.36538696289062,26879600,0.0035803642518663636,,,,,,170.97860316902756,170.81812744534028,,,0.21570865055679178,0.06432129952117657,,,,,,0.0011178601524610698,0.0,0.0,0.0,0.04594782207084336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-05,173.7638369582265,175.2019479039631,172.50424324144495,173.9721221923828,22068500,0.00932168144546397,,,,,,171.2637002188709,170.94181351385177,,,0.4260554070107787,0.136668121019097,,,,,,0.011885166809659786,0.0,0.0,0.0,0.570489740295443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-06,174.4580976777925,175.6978511153371,174.30933331877074,175.2812957763672,23251000,0.007525191780650031,0.026843263051087973,,,,,171.64632836720386,171.11198928885239,,,0.6904371641286389,0.2474219296410054,,,,,,-1.8826212542566445e-05,0.0,0.0,0.0,0.9741704299427738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013932799860453926,0.0,0.0,0.0
2024-06-07,175.5986726101232,176.41194296176616,172.87121516107322,173.0299072265625,19661400,-0.01284443123171064,0.011362263073621648,,,,,171.77809778238088,171.1872017569979,,,0.7101076916396494,0.3399590820407342,,,,,,-0.0012156583247044939,0.0,0.0,0.0,1.2287257187483647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4776308553119246,0.0,0.0,0.0
2024-06-10,173.73488619485127,175.8101292272444,171.54047994095143,173.77459716796875,23726700,0.004303822115740763,0.011785350855262777,,,,,171.9682405810083,171.28866824370263,,,0.7768321436577139,0.42733369436413016,,,,,,0.003089675881409404,0.014891811464125437,0.0,0.0,1.5426513575026775,0.0,0.0,-0.00310646060886266,0.0,0.0,0.0,0.0,0.0,-0.13592579509160896,0.0,0.0,0.0
2024-06-11,174.97607487552963,175.59169348463175,172.54337230776866,175.3732452392578,21540600,0.00919954986138638,0.01745047732242644,,,,,172.29252673893683,171.44884773372442,,,0.9477838294880314,0.5314237213889104,,,,,,0.002408453385426501,0.016200161415916403,0.0,0.0,1.8714942002535508,0.0,0.0,0.0012503159065100355,0.0,0.0,0.0,0.0,0.0,-0.19862646765576863,0.0,0.0,0.0
2024-06-12,176.99171737123814,179.1364733750805,174.8668244279154,176.5349578857422,27864700,0.006624229624647038,0.014731300975482364,,173.38671264648437,,,172.69656780053737,171.64830303380353,,,1.1635916140662346,0.6578572999243752,,,,,,0.00821319611838045,0.012512532293970535,0.0,0.0,2.451249598541949,0.0,0.0,0.002218768681511829,0.0,0.0,0.0,0.0,0.0,0.2626458526859552,0.0,0.0,0.0
2024-06-13,174.86682906819652,175.4923867070194,173.64551595765906,173.9235382080078,20913300,-0.014792649053818274,-0.007746163458830613,,173.7091491699219,,,172.81342212505837,171.73752794259585,,,1.1110931050239685,0.7485044609442939,,,,,,0.002013301440180859,0.014570125746265816,0.0,0.0,2.9624190023723713,0.0,0.0,-0.02231628920509643,0.0,0.0,0.0,0.0,0.0,-0.10054191217582042,0.0,0.0,0.0
